project,opt_level,binary,function,agent,source_available,decompiled_available,source_path,decompiled_path
coreutils,O2-noinline,sort,mergelines_node,claude-code,True,True,sources/coreutils/sort.c,results/claude-code/O2-noinline/coreutils/sort.c
coreutils,O2-noinline,touch,main,codex,True,True,"sources/coreutils/touch.c (CFG-selected: overlap=50, coverage=0.427; candidates: sources/coreutils/touch.c, sources/coreutils/b2sum-digest.c, sources/coreutils/base32-basenc.c, sources/coreutils/base64-basenc.c, sources/coreutils/basename.c, sources/coreutils/basenc-basenc.c, sources/coreutils/cat.c, sources/coreutils/chcon.c, sources/coreutils/chgrp.c, sources/coreutils/chmod.c, sources/coreutils/chown.c, sources/coreutils/chroot.c, sources/coreutils/cksum-digest.c, sources/coreutils/comm.c, sources/coreutils/cp.32273429.c, sources/coreutils/cp.c, sources/coreutils/df.c, sources/coreutils/shred.c, sources/coreutils/sort.c)",results/codex/O2-noinline/coreutils/touch.c
coreutils,O2-noinline,touch,main,claude-code,True,True,"sources/coreutils/touch.c (CFG-selected: overlap=50, coverage=0.427; candidates: sources/coreutils/touch.c, sources/coreutils/b2sum-digest.c, sources/coreutils/base32-basenc.c, sources/coreutils/base64-basenc.c, sources/coreutils/basename.c, sources/coreutils/basenc-basenc.c, sources/coreutils/cat.c, sources/coreutils/chcon.c, sources/coreutils/chgrp.c, sources/coreutils/chmod.c, sources/coreutils/chown.c, sources/coreutils/chroot.c, sources/coreutils/cksum-digest.c, sources/coreutils/comm.c, sources/coreutils/cp.32273429.c, sources/coreutils/cp.c, sources/coreutils/df.c, sources/coreutils/shred.c, sources/coreutils/sort.c)",results/claude-code/O2-noinline/coreutils/touch.c
cronie,O2-noinline,crontab,get_range,codex,True,True,sources/cronie/entry.c,results/codex/O2-noinline/cronie/crontab.c
cronie,O2-noinline,crontab,get_range,claude-code,True,True,sources/cronie/entry.c,results/claude-code/O2-noinline/cronie/crontab.c
cronie,O2-noinline,cronnext,get_range,codex,True,True,sources/cronie/entry.c,results/codex/O2-noinline/cronie/cronnext.c
cronie,O2-noinline,cronnext,get_range,claude-code,True,True,sources/cronie/entry.c,results/claude-code/O2-noinline/cronie/cronnext.c
diffutils,O2-noinline,cmp,cmp,codex,True,True,sources/diffutils/cmp.c,results/codex/O2-noinline/diffutils/cmp.c
diffutils,O2-noinline,cmp,cmp,claude-code,True,True,sources/diffutils/cmp.c,results/claude-code/O2-noinline/diffutils/cmp.c
diffutils,O2-noinline,diff3,output_diff3_edscript,codex,True,True,sources/diffutils/diff3.c,results/codex/O2-noinline/diffutils/diff3.c
diffutils,O2-noinline,diff3,output_diff3_edscript,claude-code,True,True,sources/diffutils/diff3.c,results/claude-code/O2-noinline/diffutils/diff3.c
dpkg,O2-noinline,dpkg-divert,diversion_add,codex,True,True,sources/dpkg/divertcmd.c,results/codex/O2-noinline/dpkg/dpkg-divert.c
dpkg,O2-noinline,dpkg-divert,diversion_add,claude-code,True,True,sources/dpkg/divertcmd.c,results/claude-code/O2-noinline/dpkg/dpkg-divert.c
dpkg,O2-noinline,dpkg-query,pkg_array_match_patterns,codex,True,True,sources/dpkg/querycmd.c,results/codex/O2-noinline/dpkg/dpkg-query.c
dpkg,O2-noinline,dpkg-query,pkg_array_match_patterns,claude-code,True,True,sources/dpkg/querycmd.c,results/claude-code/O2-noinline/dpkg/dpkg-query.c
e2fsprogs,O2-noinline,e2fsck,check_ea_in_inode,codex,True,True,sources/e2fsprogs/pass1.c,results/codex/O2-noinline/e2fsprogs/e2fsck.c
e2fsprogs,O2-noinline,e2fsck,check_ea_in_inode,claude-code,True,True,sources/e2fsprogs/pass1.c,results/claude-code/O2-noinline/e2fsprogs/e2fsck.c
gnutls,O2-noinline,certtool,yyparse,codex,True,True,"sources/gnutls/parse-datetime.c (CFG-selected: overlap=89, coverage=0.589; candidates: sources/gnutls/parse-datetime.c, sources/gnutls/parse-datetime.7e740fb1.c)",results/codex/O2-noinline/gnutls/certtool.c
gnutls,O2-noinline,certtool,yyparse,claude-code,True,True,"sources/gnutls/parse-datetime.c (CFG-selected: overlap=89, coverage=0.589; candidates: sources/gnutls/parse-datetime.c, sources/gnutls/parse-datetime.7e740fb1.c)",results/claude-code/O2-noinline/gnutls/certtool.c
gnutls,O2-noinline,psktool,process_options,codex,True,True,"sources/gnutls/gnutls-cli-options.c (CFG-selected: overlap=104, coverage=0.495; candidates: sources/gnutls/psktool-options.c, sources/gnutls/certtool-options.c, sources/gnutls/danetool-options.c, sources/gnutls/gnutls-cli-debug-options.c, sources/gnutls/gnutls-cli-options.c, sources/gnutls/gnutls-serv-options.c, sources/gnutls/ocsptool-options.c, sources/gnutls/srptool-options.c, sources/gnutls/systemkey-tool-options.c)",results/codex/O2-noinline/gnutls/psktool.c
gnutls,O2-noinline,psktool,process_options,claude-code,True,True,"sources/gnutls/gnutls-cli-options.c (CFG-selected: overlap=104, coverage=0.495; candidates: sources/gnutls/psktool-options.c, sources/gnutls/certtool-options.c, sources/gnutls/danetool-options.c, sources/gnutls/gnutls-cli-debug-options.c, sources/gnutls/gnutls-cli-options.c, sources/gnutls/gnutls-serv-options.c, sources/gnutls/ocsptool-options.c, sources/gnutls/srptool-options.c, sources/gnutls/systemkey-tool-options.c)",results/claude-code/O2-noinline/gnutls/psktool.c
gnutls,O2-noinline,gnutls-cli,send_ocsp_request,codex,True,True,sources/gnutls/ocsptool-common.c,results/codex/O2-noinline/gnutls/gnutls-cli.c
gnutls,O2-noinline,gnutls-cli,send_ocsp_request,claude-code,True,True,sources/gnutls/ocsptool-common.c,results/claude-code/O2-noinline/gnutls/gnutls-cli.c
gnutls,O2-noinline,gnutls-serv,main,codex,True,True,"sources/gnutls/serv.c (CFG-selected: overlap=77, coverage=0.566; candidates: sources/gnutls/certtool.c, sources/gnutls/cli-debug.c, sources/gnutls/cli.5eaa6639.c, sources/gnutls/cli.c, sources/gnutls/dumpcfg-cfg.c, sources/gnutls/ocsptool.c, sources/gnutls/psk.c, sources/gnutls/serv.c, sources/gnutls/srptool.c, sources/gnutls/systemkey.c)",results/codex/O2-noinline/gnutls/gnutls-serv.c
gnutls,O2-noinline,gnutls-serv,main,claude-code,True,True,"sources/gnutls/serv.c (CFG-selected: overlap=77, coverage=0.566; candidates: sources/gnutls/certtool.c, sources/gnutls/cli-debug.c, sources/gnutls/cli.5eaa6639.c, sources/gnutls/cli.c, sources/gnutls/dumpcfg-cfg.c, sources/gnutls/ocsptool.c, sources/gnutls/psk.c, sources/gnutls/serv.c, sources/gnutls/srptool.c, sources/gnutls/systemkey.c)",results/claude-code/O2-noinline/gnutls/gnutls-serv.c
gnutls,O2-noinline,ocsptool,socket_open2,codex,True,True,sources/gnutls/socket.c,results/codex/O2-noinline/gnutls/ocsptool.c
gnutls,O2-noinline,ocsptool,socket_open2,claude-code,True,True,sources/gnutls/socket.c,results/claude-code/O2-noinline/gnutls/ocsptool.c
gnutls,O2-noinline,systemkey,print_list,codex,True,True,sources/gnutls/common.c,results/codex/O2-noinline/gnutls/systemkey.c
gnutls,O2-noinline,systemkey,print_list,claude-code,True,True,sources/gnutls/common.c,results/claude-code/O2-noinline/gnutls/systemkey.c
libacl,O2-noinline,chacl,main,codex,True,True,"sources/libacl/chacl.c (CFG-selected: overlap=30, coverage=0.566; candidates: sources/libacl/chacl.c, sources/libacl/setfacl.c)",results/codex/O2-noinline/libacl/chacl.c
libacl,O2-noinline,chacl,main,claude-code,True,True,"sources/libacl/chacl.c (CFG-selected: overlap=30, coverage=0.566; candidates: sources/libacl/chacl.c, sources/libacl/setfacl.c)",results/claude-code/O2-noinline/libacl/chacl.c
libacl,O2-noinline,setfacl,restore,codex,True,True,sources/libacl/setfacl.c,results/codex/O2-noinline/libacl/setfacl.c
libacl,O2-noinline,setfacl,restore,claude-code,True,True,sources/libacl/setfacl.c,results/claude-code/O2-noinline/libacl/setfacl.c
libopencm3,O2-noinline,cdcacm,dwc_poll,codex,True,True,sources/libopencm3/usb_dwc_common.c,results/codex/O2-noinline/libopencm3/cdcacm.c
libopencm3,O2-noinline,cdcacm,dwc_poll,claude-code,True,True,sources/libopencm3/usb_dwc_common.c,results/claude-code/O2-noinline/libopencm3/cdcacm.c
libopencm3,O2-noinline,msc,_usbd_standard_request_device,codex,True,True,sources/libopencm3/usb_standard.c,results/codex/O2-noinline/libopencm3/msc.c
libopencm3,O2-noinline,msc,_usbd_standard_request_device,claude-code,True,True,sources/libopencm3/usb_standard.c,results/claude-code/O2-noinline/libopencm3/msc.c
libopencm3,O2-noinline,sdram,main,codex,True,True,"sources/libopencm3/sdram.c (CFG-selected: overlap=19, coverage=0.422; candidates: sources/libopencm3/sdram.c, sources/libopencm3/adc-dac-printf.c, sources/libopencm3/blink.c, sources/libopencm3/button.c, sources/libopencm3/cdcacm.c, sources/libopencm3/cryptobasic.c, sources/libopencm3/dac-dma.c, sources/libopencm3/fancyblink.c, sources/libopencm3/lcd-dma.c, sources/libopencm3/lcd-serial.c, sources/libopencm3/mandel.c, sources/libopencm3/miniblink.c, sources/libopencm3/msc.c, sources/libopencm3/random.c, sources/libopencm3/spi-mems.c, sources/libopencm3/tick_blink.c, sources/libopencm3/timer.c, sources/libopencm3/usart-stdio.c, sources/libopencm3/usart.c, sources/libopencm3/usart_console.c, sources/libopencm3/usart_irq.c, sources/libopencm3/usart_irq_console.c, sources/libopencm3/usbmidi.c)",results/codex/O2-noinline/libopencm3/sdram.c
libopencm3,O2-noinline,sdram,main,claude-code,True,True,"sources/libopencm3/sdram.c (CFG-selected: overlap=19, coverage=0.422; candidates: sources/libopencm3/sdram.c, sources/libopencm3/adc-dac-printf.c, sources/libopencm3/blink.c, sources/libopencm3/button.c, sources/libopencm3/cdcacm.c, sources/libopencm3/cryptobasic.c, sources/libopencm3/dac-dma.c, sources/libopencm3/fancyblink.c, sources/libopencm3/lcd-dma.c, sources/libopencm3/lcd-serial.c, sources/libopencm3/mandel.c, sources/libopencm3/miniblink.c, sources/libopencm3/msc.c, sources/libopencm3/random.c, sources/libopencm3/spi-mems.c, sources/libopencm3/tick_blink.c, sources/libopencm3/timer.c, sources/libopencm3/usart-stdio.c, sources/libopencm3/usart.c, sources/libopencm3/usart_console.c, sources/libopencm3/usart_irq.c, sources/libopencm3/usart_irq_console.c, sources/libopencm3/usbmidi.c)",results/claude-code/O2-noinline/libopencm3/sdram.c
libopencm3,O2-noinline,usbmidi,dwc_poll,codex,True,True,sources/libopencm3/usb_dwc_common.c,results/codex/O2-noinline/libopencm3/usbmidi.c
libopencm3,O2-noinline,usbmidi,dwc_poll,claude-code,True,True,sources/libopencm3/usb_dwc_common.c,results/claude-code/O2-noinline/libopencm3/usbmidi.c
openssh-portable,O2-noinline,ssh,revoked_serial_tree_RB_REMOVE_COLOR,codex,True,True,sources/openssh-portable/krl.c,results/codex/O2-noinline/openssh-portable/ssh.c
openssh-portable,O2-noinline,ssh,revoked_serial_tree_RB_REMOVE_COLOR,claude-code,True,True,sources/openssh-portable/krl.c,results/claude-code/O2-noinline/openssh-portable/ssh.c
openssh-portable,O2-noinline,ssh-add,revoked_certs_generate,codex,True,True,sources/openssh-portable/krl.c,results/codex/O2-noinline/openssh-portable/ssh-add.c
openssh-portable,O2-noinline,ssh-add,revoked_certs_generate,claude-code,True,True,sources/openssh-portable/krl.c,results/claude-code/O2-noinline/openssh-portable/ssh-add.c
openssh-portable,O2-noinline,ssh-keygen,ssh_rsa_verify,codex,True,True,sources/openssh-portable/ssh-rsa.c,results/codex/O2-noinline/openssh-portable/ssh-keygen.c
openssh-portable,O2-noinline,ssh-keygen,ssh_rsa_verify,claude-code,True,True,sources/openssh-portable/ssh-rsa.c,results/claude-code/O2-noinline/openssh-portable/ssh-keygen.c
openssh-portable,O2-noinline,ssh-keyscan,argv_split,codex,True,True,"sources/openssh-portable/misc.c (CFG-selected: overlap=11, coverage=0.611; candidates: sources/openssh-portable/auth2-pubkey.c, sources/openssh-portable/misc.c, sources/openssh-portable/readconf.c, sources/openssh-portable/servconf.c, sources/openssh-portable/sshconnect.33569d05.c, sources/openssh-portable/sshconnect.c)",results/codex/O2-noinline/openssh-portable/ssh-keyscan.c
openssh-portable,O2-noinline,ssh-keyscan,argv_split,claude-code,True,True,"sources/openssh-portable/misc.c (CFG-selected: overlap=11, coverage=0.611; candidates: sources/openssh-portable/auth2-pubkey.c, sources/openssh-portable/misc.c, sources/openssh-portable/readconf.c, sources/openssh-portable/servconf.c, sources/openssh-portable/sshconnect.33569d05.c, sources/openssh-portable/sshconnect.c)",results/claude-code/O2-noinline/openssh-portable/ssh-keyscan.c
openssh-portable,O2-noinline,ssh-pkcs11-helper,pkcs11_fetch_rsa_pubkey,codex,True,True,sources/openssh-portable/ssh-pkcs11.c,results/codex/O2-noinline/openssh-portable/ssh-pkcs11-helper.c
openssh-portable,O2-noinline,ssh-pkcs11-helper,pkcs11_fetch_rsa_pubkey,claude-code,True,True,sources/openssh-portable/ssh-pkcs11.c,results/claude-code/O2-noinline/openssh-portable/ssh-pkcs11-helper.c
openssh-portable,O2-noinline,ssh-sk-helper,cert_parse,codex,True,True,sources/openssh-portable/sshkey.c,results/codex/O2-noinline/openssh-portable/ssh-sk-helper.c
openssh-portable,O2-noinline,ssh-sk-helper,cert_parse,claude-code,True,True,sources/openssh-portable/sshkey.c,results/claude-code/O2-noinline/openssh-portable/ssh-sk-helper.c
shadow,O2-noinline,groupmod,grp_update,codex,True,True,"sources/shadow/groupmod.c (CFG-selected: overlap=42, coverage=0.646; candidates: sources/shadow/groupmod.c, sources/shadow/useradd.c, sources/shadow/usermod.c)",results/codex/O2-noinline/shadow/groupmod.c
shadow,O2-noinline,groupmod,grp_update,claude-code,True,True,"sources/shadow/groupmod.c (CFG-selected: overlap=42, coverage=0.646; candidates: sources/shadow/groupmod.c, sources/shadow/useradd.c, sources/shadow/usermod.c)",results/claude-code/O2-noinline/shadow/groupmod.c
shadow,O2-noinline,grpunconv,main,codex,True,True,"sources/shadow/grpunconv.c (CFG-selected: overlap=41, coverage=0.554; candidates: sources/shadow/grpunconv.c, sources/shadow/groupmod.c, sources/shadow/login.c, sources/shadow/newusers.c, sources/shadow/useradd.c, sources/shadow/usermod.c, sources/shadow/vipw.c)",results/codex/O2-noinline/shadow/grpunconv.c
shadow,O2-noinline,grpunconv,main,claude-code,True,True,"sources/shadow/grpunconv.c (CFG-selected: overlap=41, coverage=0.554; candidates: sources/shadow/grpunconv.c, sources/shadow/groupmod.c, sources/shadow/login.c, sources/shadow/newusers.c, sources/shadow/useradd.c, sources/shadow/usermod.c, sources/shadow/vipw.c)",results/claude-code/O2-noinline/shadow/grpunconv.c
shadow,O2-noinline,login,main,codex,True,True,"sources/shadow/login.c (CFG-selected: overlap=110, coverage=0.561; candidates: sources/shadow/login.c, sources/shadow/groupmod.c, sources/shadow/grpunconv.c, sources/shadow/newusers.c, sources/shadow/useradd.c, sources/shadow/usermod.c, sources/shadow/vipw.c)",results/codex/O2-noinline/shadow/login.c
shadow,O2-noinline,login,main,claude-code,True,False,"sources/shadow/login.c (CFG-selected: overlap=110, coverage=0.561; candidates: sources/shadow/login.c, sources/shadow/groupmod.c, sources/shadow/grpunconv.c, sources/shadow/newusers.c, sources/shadow/useradd.c, sources/shadow/usermod.c, sources/shadow/vipw.c)",results/claude-code/O2-noinline/shadow/login.c
shadow,O2-noinline,newusers,close_files,codex,True,True,"sources/shadow/newusers.c (CFG-selected: overlap=26, coverage=0.565; candidates: sources/shadow/newusers.c, sources/shadow/groupmod.c, sources/shadow/useradd.c, sources/shadow/usermod.c)",results/codex/O2-noinline/shadow/newusers.c
shadow,O2-noinline,newusers,close_files,claude-code,True,True,"sources/shadow/newusers.c (CFG-selected: overlap=26, coverage=0.565; candidates: sources/shadow/newusers.c, sources/shadow/groupmod.c, sources/shadow/useradd.c, sources/shadow/usermod.c)",results/claude-code/O2-noinline/shadow/newusers.c
shadow,O2-noinline,useradd,grp_update,codex,True,True,"sources/shadow/useradd.c (CFG-selected: overlap=29, coverage=0.569; candidates: sources/shadow/useradd.c, sources/shadow/groupmod.c, sources/shadow/usermod.c)",results/codex/O2-noinline/shadow/useradd.c
shadow,O2-noinline,useradd,grp_update,claude-code,True,True,"sources/shadow/useradd.c (CFG-selected: overlap=29, coverage=0.569; candidates: sources/shadow/useradd.c, sources/shadow/groupmod.c, sources/shadow/usermod.c)",results/claude-code/O2-noinline/shadow/useradd.c
shadow,O2-noinline,vipw,main,codex,True,True,"sources/shadow/vipw.c (CFG-selected: overlap=29, coverage=0.408; candidates: sources/shadow/vipw.c, sources/shadow/groupmod.c, sources/shadow/grpunconv.c, sources/shadow/login.c, sources/shadow/newusers.c, sources/shadow/useradd.c, sources/shadow/usermod.c)",results/codex/O2-noinline/shadow/vipw.c
shadow,O2-noinline,vipw,main,claude-code,True,True,"sources/shadow/vipw.c (CFG-selected: overlap=29, coverage=0.408; candidates: sources/shadow/vipw.c, sources/shadow/groupmod.c, sources/shadow/grpunconv.c, sources/shadow/login.c, sources/shadow/newusers.c, sources/shadow/useradd.c, sources/shadow/usermod.c)",results/claude-code/O2-noinline/shadow/vipw.c
shadow,O2-noinline,usermod,update_gshadow,codex,True,True,sources/shadow/usermod.c,results/codex/O2-noinline/shadow/usermod.c
shadow,O2-noinline,usermod,update_gshadow,claude-code,True,True,sources/shadow/usermod.c,results/claude-code/O2-noinline/shadow/usermod.c
sysvinit,O2-noinline,bootlogd,main,codex,True,True,"sources/sysvinit/bootlogd.c (CFG-selected: overlap=67, coverage=0.698; candidates: sources/sysvinit/bootlogd.c, sources/sysvinit/init.c, sources/sysvinit/killall5.c, sources/sysvinit/last.c, sources/sysvinit/shutdown.c, sources/sysvinit/sulogin.c, sources/sysvinit/utmpdump.c, sources/sysvinit/wall.c)",results/codex/O2-noinline/sysvinit/bootlogd.c
sysvinit,O2-noinline,bootlogd,main,claude-code,True,True,"sources/sysvinit/bootlogd.c (CFG-selected: overlap=67, coverage=0.698; candidates: sources/sysvinit/bootlogd.c, sources/sysvinit/init.c, sources/sysvinit/killall5.c, sources/sysvinit/last.c, sources/sysvinit/shutdown.c, sources/sysvinit/sulogin.c, sources/sysvinit/utmpdump.c, sources/sysvinit/wall.c)",results/claude-code/O2-noinline/sysvinit/bootlogd.c
sysvinit,O2-noinline,init,check_init_fifo,codex,True,True,sources/sysvinit/init.c,results/codex/O2-noinline/sysvinit/init.c
sysvinit,O2-noinline,init,check_init_fifo,claude-code,True,True,sources/sysvinit/init.c,results/claude-code/O2-noinline/sysvinit/init.c
sysvinit,O2-noinline,killall5,readproc,codex,True,True,sources/sysvinit/killall5.c,results/codex/O2-noinline/sysvinit/killall5.c
sysvinit,O2-noinline,killall5,readproc,claude-code,True,True,sources/sysvinit/killall5.c,results/claude-code/O2-noinline/sysvinit/killall5.c
sysvinit,O2-noinline,last,list,codex,True,True,sources/sysvinit/last.c,results/codex/O2-noinline/sysvinit/last.c
sysvinit,O2-noinline,last,list,claude-code,True,True,sources/sysvinit/last.c,results/claude-code/O2-noinline/sysvinit/last.c
sysvinit,O2-noinline,shutdown,wall,codex,True,True,sources/sysvinit/dowall.c,results/codex/O2-noinline/sysvinit/shutdown.c
sysvinit,O2-noinline,shutdown,wall,claude-code,True,True,sources/sysvinit/dowall.c,results/claude-code/O2-noinline/sysvinit/shutdown.c
sysvinit,O2-noinline,sulogin,getpasswd,codex,True,True,sources/sysvinit/sulogin.c,results/codex/O2-noinline/sysvinit/sulogin.c
sysvinit,O2-noinline,sulogin,getpasswd,claude-code,True,True,sources/sysvinit/sulogin.c,results/claude-code/O2-noinline/sysvinit/sulogin.c
sysvinit,O2-noinline,utmpdump,dump,codex,True,True,sources/sysvinit/utmpdump.c,results/codex/O2-noinline/sysvinit/utmpdump.c
sysvinit,O2-noinline,utmpdump,dump,claude-code,True,True,sources/sysvinit/utmpdump.c,results/claude-code/O2-noinline/sysvinit/utmpdump.c
sysvinit,O2-noinline,wall,wall,codex,True,True,sources/sysvinit/dowall.c,results/codex/O2-noinline/sysvinit/wall.c
sysvinit,O2-noinline,wall,wall,claude-code,True,True,sources/sysvinit/dowall.c,results/claude-code/O2-noinline/sysvinit/wall.c
zlib,O2-noinline,libz.so.1.2,deflate_slow,codex,True,True,sources/zlib/deflate.c,results/codex/O2-noinline/zlib/libz.so.1.2.c
zlib,O2-noinline,libz.so.1.2,deflate_slow,claude-code,True,True,sources/zlib/deflate.c,results/claude-code/O2-noinline/zlib/libz.so.1.2.c
zlib,O2-noinline,minigzip,inflate_table,codex,True,True,sources/zlib/inftrees.c,results/codex/O2-noinline/zlib/minigzip.c
zlib,O2-noinline,minigzip,inflate_table,claude-code,True,True,sources/zlib/inftrees.c,results/claude-code/O2-noinline/zlib/minigzip.c
zlib,O2-noinline,minigzipsh,main,codex,True,True,"sources/zlib/minigzip.c (CFG-selected: overlap=21, coverage=0.600; candidates: sources/zlib/minigzip.c, sources/zlib/example.c, sources/zlib/example64.c, sources/zlib/minigzip64.c)",results/codex/O2-noinline/zlib/minigzipsh.c
zlib,O2-noinline,minigzipsh,main,claude-code,True,True,"sources/zlib/minigzip.c (CFG-selected: overlap=21, coverage=0.600; candidates: sources/zlib/minigzip.c, sources/zlib/example.c, sources/zlib/example64.c, sources/zlib/minigzip64.c)",results/claude-code/O2-noinline/zlib/minigzipsh.c
zlib,O2-noinline,minigzip64,inflate_fast,codex,True,True,sources/zlib/inffast.c,results/codex/O2-noinline/zlib/minigzip64.c
zlib,O2-noinline,minigzip64,inflate_fast,claude-code,True,True,sources/zlib/inffast.c,results/claude-code/O2-noinline/zlib/minigzip64.c
