project,function,decompiler,条目verdict,wrong-entity数,undeterminable-entity数,命中模式列表
openssh-portable/ssh-pkcs11-helper,pkcs11_fetch_rsa_pubkey,claude-code,confirmed=0;rejected=0;undeterminable=1,0,3,
openssh-portable/ssh-sk-helper,cert_parse,claude-code,confirmed=1;rejected=0;undeterminable=0,2,1,"FN-01,LAYOUT-01"
openssh-portable/ssh,revoked_serial_tree_RB_REMOVE_COLOR,claude-code,confirmed=0;rejected=1;undeterminable=0,3,5,"FN-01,ST-01"
shadow/groupmod,grp_update,claude-code,confirmed=0;rejected=7;undeterminable=2,1,2,SC-01
shadow/grpunconv,main,claude-code,confirmed=0;rejected=0;undeterminable=1,0,2,
shadow/newusers,close_files,claude-code,confirmed=0;rejected=1;undeterminable=0,0,0,
shadow/useradd,grp_update,claude-code,confirmed=1;rejected=0;undeterminable=0,2,4,LAYOUT-01
shadow/usermod,update_gshadow,claude-code,confirmed=1;rejected=0;undeterminable=0,1,1,INT-01
shadow/vipw,main,claude-code,confirmed=0;rejected=6;undeterminable=1,0,1,
sysvinit/bootlogd,main,claude-code,confirmed=1;rejected=24;undeterminable=4,1,4,INT-01
sysvinit/init,check_init_fifo,claude-code,confirmed=0;rejected=1;undeterminable=0,0,1,
sysvinit/killall5,readproc,claude-code,confirmed=0;rejected=1;undeterminable=0,2,0,"INT-01,ST-01"
sysvinit/last,list,claude-code,confirmed=0;rejected=0;undeterminable=1,0,2,
sysvinit/shutdown,wall,claude-code,confirmed=1;rejected=0;undeterminable=0,2,3,"ARRAY-01,FN-01"
sysvinit/sulogin,getpasswd,claude-code,confirmed=1;rejected=0;undeterminable=0,7,5,"INT-01,SC-01"
sysvinit/utmpdump,dump,claude-code,confirmed=1;rejected=0;undeterminable=0,2,2,LAYOUT-01
sysvinit/wall,wall,claude-code,confirmed=1;rejected=0;undeterminable=0,2,1,"FN-01,SC-01"
zlib/libz.so.1.2,deflate_slow,claude-code,confirmed=0;rejected=5;undeterminable=2,0,2,
zlib/minigzip64,inflate_fast,claude-code,confirmed=1;rejected=0;undeterminable=0,4,0,"LAYOUT-01,PTR-01,QUAL-01"
zlib/minigzip,inflate_table,claude-code,confirmed=0;rejected=1;undeterminable=0,0,0,
zlib/minigzipsh,main,claude-code,confirmed=0;rejected=1;undeterminable=0,0,1,
bash/man2html,scan_format,codex,confirmed=0;rejected=1;undeterminable=0,0,0,
coreutils/chown,usage,codex,confirmed=0;rejected=1;undeterminable=0,0,0,
coreutils/comm,compare_files,codex,confirmed=1;rejected=0;undeterminable=0,3,1,"ARRAY-01,FN-01,INT-01"
coreutils/cp,copy_reg,codex,confirmed=0;rejected=0;undeterminable=1,3,4,"INT-01,PTR-01"
coreutils/df,filter_mount_list,codex,confirmed=0;rejected=10;undeterminable=0,0,0,
coreutils/shred,dopass,codex,confirmed=3;rejected=28;undeterminable=8,3,8,"ARRAY-01,QUAL-01"
coreutils/sort,mergelines_node,codex,confirmed=1;rejected=0;undeterminable=0,1,0,ST-01
coreutils/touch,main,codex,confirmed=1;rejected=8;undeterminable=1,1,1,LAYOUT-01
cronie/cronnext,get_range,codex,confirmed=0;rejected=1;undeterminable=0,0,1,
cronie/crontab,get_range,codex,confirmed=0;rejected=10;undeterminable=3,0,3,
diffutils/cmp,cmp,codex,confirmed=10;rejected=27;undeterminable=1,10,1,"INT-01,QUAL-01"
diffutils/diff3,output_diff3_edscript,codex,confirmed=1;rejected=0;undeterminable=0,6,1,"FN-01,SC-01"
dpkg/dpkg-divert,diversion_add,codex,confirmed=0;rejected=0;undeterminable=1,3,1,LAYOUT-01
dpkg/dpkg-query,pkg_array_match_patterns,codex,confirmed=0;rejected=1;undeterminable=0,2,0,LAYOUT-01
e2fsprogs/e2fsck,check_ea_in_inode,codex,confirmed=0;rejected=0;undeterminable=1,0,2,
gnutls/certtool,yyparse,codex,confirmed=2;rejected=1;undeterminable=3,2,9,"FN-01,INT-01"
gnutls/gnutls-cli,send_ocsp_request,codex,confirmed=0;rejected=1;undeterminable=0,4,1,"FN-01,INT-01,SC-01"
gnutls/gnutls-serv,main,codex,confirmed=1;rejected=0;undeterminable=0,1,3,INT-01
gnutls/ocsptool,socket_open2,codex,confirmed=0;rejected=1;undeterminable=0,4,3,"ARRAY-01,FN-01"
gnutls/psktool,process_options,codex,confirmed=0;rejected=0;undeterminable=1,1,2,ST-01
gnutls/systemkey,print_list,codex,confirmed=1;rejected=0;undeterminable=0,3,0,"INT-01,QUAL-01"
libacl/chacl,main,codex,confirmed=0;rejected=0;undeterminable=1,1,7,QUAL-01
libacl/setfacl,restore,codex,confirmed=0;rejected=1;undeterminable=0,0,3,
libopencm3/cdcacm,dwc_poll,codex,confirmed=0;rejected=1;undeterminable=0,2,2,"INT-01,LAYOUT-01"
libopencm3/msc,_usbd_standard_request_device,codex,confirmed=0;rejected=1;undeterminable=0,0,1,
libopencm3/sdram,main,codex,confirmed=2;rejected=2;undeterminable=1,2,1,INT-01
libopencm3/usbmidi,dwc_poll,codex,confirmed=0;rejected=0;undeterminable=1,0,5,
openssh-portable/ssh-add,revoked_certs_generate,codex,confirmed=1;rejected=0;undeterminable=0,5,2,"LAYOUT-01,ST-01"
openssh-portable/ssh-keygen,ssh_rsa_verify,codex,confirmed=0;rejected=1;undeterminable=0,1,0,LAYOUT-01
openssh-portable/ssh-keyscan,argv_split,codex,confirmed=0;rejected=1;undeterminable=0,0,1,
openssh-portable/ssh-pkcs11-helper,pkcs11_fetch_rsa_pubkey,codex,confirmed=1;rejected=0;undeterminable=0,4,0,LAYOUT-01
openssh-portable/ssh-sk-helper,cert_parse,codex,confirmed=1;rejected=0;undeterminable=0,3,1,"FN-01,SC-01,ST-01"
openssh-portable/ssh,revoked_serial_tree_RB_REMOVE_COLOR,codex,confirmed=0;rejected=0;undeterminable=1,1,0,ST-01
shadow/groupmod,grp_update,codex,confirmed=1;rejected=0;undeterminable=0,1,2,SC-01
shadow/grpunconv,main,codex,confirmed=1;rejected=0;undeterminable=0,2,2,SC-01
shadow/login,main,codex,confirmed=1;rejected=0;undeterminable=0,5,4,"INT-01,QUAL-01"
shadow/newusers,close_files,codex,confirmed=1;rejected=0;undeterminable=0,13,0,"QUAL-01,SC-01"
shadow/useradd,grp_update,codex,confirmed=1;rejected=0;undeterminable=0,1,2,QUAL-01
shadow/usermod,update_gshadow,codex,confirmed=0;rejected=1;undeterminable=0,0,0,
shadow/vipw,main,codex,confirmed=0;rejected=7;undeterminable=1,0,1,
sysvinit/bootlogd,main,codex,confirmed=0;rejected=0;undeterminable=1,2,0,QUAL-01
sysvinit/init,check_init_fifo,codex,confirmed=1;rejected=0;undeterminable=0,3,1,LAYOUT-01
sysvinit/killall5,readproc,codex,confirmed=1;rejected=0;undeterminable=0,1,3,LAYOUT-01
sysvinit/last,list,codex,confirmed=0;rejected=1;undeterminable=0,0,3,
sysvinit/shutdown,wall,codex,confirmed=1;rejected=0;undeterminable=0,1,1,FN-01
sysvinit/sulogin,getpasswd,codex,confirmed=6;rejected=7;undeterminable=4,6,4,"INT-01,LAYOUT-01"
sysvinit/utmpdump,dump,codex,confirmed=0;rejected=1;undeterminable=0,0,1,
sysvinit/wall,wall,codex,confirmed=0;rejected=1;undeterminable=0,0,2,
zlib/libz.so.1.2,deflate_slow,codex,confirmed=1;rejected=0;undeterminable=0,2,0,LAYOUT-01
zlib/minigzip64,inflate_fast,codex,confirmed=1;rejected=0;undeterminable=0,4,0,"LAYOUT-01,PTR-01,QUAL-01"
zlib/minigzip,inflate_table,codex,confirmed=0;rejected=1;undeterminable=0,0,0,
zlib/minigzipsh,main,codex,confirmed=1;rejected=0;undeterminable=0,1,1,SC-01
